product_id,product_name,category,price
P001,Stage,Clothing,534.93
P002,Least,Accessories,56.56
P003,Number,Home,339.92
P004,Evening,Clothing,138.74
P005,Protect,Footwear,68.06
P006,Keep,Electronics,990.01
P007,Finish,Clothing,325.74
P008,Table,Clothing,810.83
P009,Manage,Accessories,258.37
P010,Able,Home,683.1
P011,Senior,Electronics,761.43
P012,Section,Footwear,597.66
P013,Drive,Electronics,474.22
P014,Yes,Footwear,414.78
P015,Strategy,Home,352.12
P016,Mind,Footwear,929.88
P017,Happen,Accessories,831.47
P018,Maybe,Accessories,965.2
P019,Feeling,Accessories,128.68
P020,Light,Accessories,732.21
P021,Art,Electronics,938.65
P022,Tax,Home,185.33
P023,Seem,Footwear,71.16
P024,Night,Footwear,742.42
P025,General,Accessories,576.6
P026,North,Accessories,842.62
P027,Ahead,Clothing,144.07
P028,Work,Home,796.29
P029,Believe,Electronics,205.62
P030,Ask,Footwear,167.84
P031,Eat,Clothing,168.44
P032,Most,Clothing,815.5
P033,The,Footwear,666.87
P034,Many,Electronics,525.45
P035,First,Clothing,362.04
P036,News,Clothing,877.81
P037,Store,Home,395.48
P038,Black,Electronics,817.52
P039,Bed,Clothing,441.94
P040,Some,Electronics,380.06
P041,Behind,Footwear,465.37
P042,Find,Accessories,304.87
P043,Force,Clothing,748.87
P044,Detail,Home,505.21
P045,Compare,Footwear,236.05
P046,Around,Electronics,900.08
P047,Standard,Footwear,386.97
P048,Consumer,Clothing,545.84
P049,Town,Electronics,906.94
P050,Operation,Accessories,626.12
P051,Part,Footwear,121.31
P052,List,Clothing,940.13
P053,Be,Home,629.57
P054,Follow,Electronics,338.23
P055,According,Footwear,143.58
P056,While,Footwear,795.06
P057,On,Accessories,621.97
P058,Job,Accessories,535.79
P059,Network,Home,894.42
P060,Management,Home,789.65
P061,Stage,Clothing,155.92
P062,Program,Clothing,315.16
P063,Table,Home,252.25
P064,Likely,Home,745.23
P065,Environmental,Electronics,38.36
P066,Such,Accessories,572.04
P067,Possible,Clothing,763.65
P068,Market,Accessories,877.38
P069,Prepare,Accessories,345.37
P070,Country,Home,822.15
P071,Same,Electronics,115.08
P072,Phone,Footwear,847.22
P073,Second,Electronics,131.85
P074,Add,Electronics,400.3
P075,Some,Accessories,798.31
P076,Amount,Electronics,154.17
P077,Government,Clothing,233.11
P078,Where,Accessories,723.64
P079,Dream,Clothing,721.44
P080,Organization,Footwear,642.94
P081,Change,Accessories,695.48
P082,West,Footwear,545.01
P083,Ready,Accessories,255.54
P084,Pay,Home,348.97
P085,Really,Electronics,185.69
P086,Edge,Home,908.91
P087,Body,Footwear,585.47
P088,Trip,Electronics,403.85
P089,Value,Accessories,464.7
P090,Perform,Electronics,947.55
P091,Foot,Clothing,157.58
P092,Coach,Electronics,588.3
P093,Why,Clothing,508.36
P094,North,Electronics,613.4
P095,Program,Clothing,23.02
P096,Service,Footwear,872.76
P097,Away,Home,932.46
P098,Decision,Accessories,567.31
P099,So,Electronics,698.17
P100,Everything,Home,922.89
